[2019-05-31 14:37:23] RabbitPrint.WARNING:  | | | data_pelanggan.php -> sel_pelanggan : SELECT * FROM pelanggan [] []
[2019-05-31 14:37:23] RabbitPrint.WARNING:  | | | data_pelanggan.php -> jml. pelanggan : 1 [] []
[2019-05-31 14:37:23] RabbitPrint.WARNING:  | | | functions.php -> getDetailPesananKey() -> selectkey : SELECT MAX(detail_pesanan_key) AS detail_key FROM detail_pesanan; [] []
[2019-05-31 14:37:23] RabbitPrint.WARNING:  | | | functions.php -> getDetailPesananKey() -> detail_key : 0000000034 [] []
[2019-05-31 14:37:23] RabbitPrint.WARNING:  | | | pesanan.php -> load [] []
[2019-05-31 14:37:44] RabbitPrint.WARNING:  | | | proses_login.php -> cek user -> sql_user : SELECT * FROM s_user WHERE username LIKE 'superuser' AND password LIKE '21232f297a57a5a743894a0e4a801fc3' LIMIT 1 [] []
[2019-05-31 14:37:44] RabbitPrint.WARNING:  | | | proses_login.php -> id_user : 1 [] []
[2019-05-31 14:37:44] RabbitPrint.WARNING:  | | | proses_login.php -> insert ke s_login -> sql_login : INSERT INTO s_login (key_login, id_user, waktu_login, waktu_kadaluarsa, status, ip, pc_dan_browser) VALUES ('15592882645000', '1', '2019-05-31 14:37:44', '2019-06-01 14:37:44', '1', '::1', 'mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/74.0.3729.169 safari/537.36') [] []
[2019-05-31 14:37:44] RabbitPrint.WARNING:  | | | proses_login.php -> insert ke s_login -> SUCCESS [] []
[2019-05-31 14:37:44] RabbitPrint.WARNING:  | | | proses_login.php -> LOGIN SUKSES!! [] []
[2019-05-31 14:37:52] RabbitPrint.WARNING:  | | | daftar_pesanan.php -> membuka halaman [] []
[2019-05-31 14:37:52] RabbitPrint.WARNING:  | | | daftar_pesanan.php -> sel_pesanan : SELECT psn.*, plg.pelanggan_nama	FROM pesanan psn JOIN pelanggan plg ON plg.pelanggan_id = psn.pesanan_pelanggan_id ORDER BY psn.pesanan_id DESC [] []
