[2019-05-17 09:47:00] RabbitPrint.WARNING:  | | | data_pelanggan.php -> sel_pelanggan : SELECT * FROM pelanggan [] []
[2019-05-17 09:47:00] RabbitPrint.WARNING:  | | | data_pelanggan.php -> jml. pelanggan : 1 [] []
[2019-05-17 09:47:00] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> load [] []
[2019-05-17 09:47:00] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> sel_psn : SELECT * FROM pesanan WHERE pesanan_no_pesanan = 'PSN/20190514/002' [] []
[2019-05-17 09:47:00] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> sel_plg : SELECT pelanggan_nama FROM pelanggan WHERE pelanggan_id = 5 [] []
[2019-05-17 09:47:00] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> sel_detailpsn : SELECT * FROM detail_pesanan WHERE detail_pesanan_no_pesanan = 'PSN/20190514/002' [] []
[2019-05-17 09:47:08] RabbitPrint.WARNING:  | | | proses_login.php -> cek user -> sql_user : SELECT * FROM s_user WHERE username LIKE 'superuser' AND password LIKE '21232f297a57a5a743894a0e4a801fc3' LIMIT 1 [] []
[2019-05-17 09:47:08] RabbitPrint.WARNING:  | | | proses_login.php -> id_user : 1 [] []
[2019-05-17 09:47:08] RabbitPrint.WARNING:  | | | proses_login.php -> insert ke s_login -> sql_login : INSERT INTO s_login (key_login, id_user, waktu_login, waktu_kadaluarsa, status, ip, pc_dan_browser) VALUES ('15580612281165', '1', '2019-05-17 09:47:08', '2019-05-18 09:47:08', '1', '127.0.0.1', 'mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/74.0.3729.131 safari/537.36') [] []
[2019-05-17 09:47:08] RabbitPrint.WARNING:  | | | proses_login.php -> insert ke s_login -> SUCCESS [] []
[2019-05-17 09:47:08] RabbitPrint.WARNING:  | | | proses_login.php -> LOGIN SUKSES!! [] []
[2019-05-17 09:47:17] RabbitPrint.WARNING:  | | | daftar_pesanan.php -> membuka halaman [] []
[2019-05-17 09:47:17] RabbitPrint.WARNING:  | | | daftar_pesanan.php -> sel_pesanan : SELECT psn.*, plg.pelanggan_nama	FROM pesanan psn JOIN pelanggan plg ON plg.pelanggan_id = psn.pesanan_pelanggan_id ORDER BY psn.pesanan_id DESC [] []
[2019-05-17 09:47:17] RabbitPrint.WARNING:  | | | daftar_pesanan.php -> jml. pesanan : 0 [] []
[2019-05-17 09:47:40] RabbitPrint.WARNING:  | | | data_pelanggan.php -> sel_pelanggan : SELECT * FROM pelanggan [] []
[2019-05-17 09:47:40] RabbitPrint.WARNING:  | | | data_pelanggan.php -> jml. pelanggan : 1 [] []
