[2019-07-21 12:39:27] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> membuka halaman [] []
[2019-07-21 12:39:27] RabbitPrint.WARNING:  | | | daftar_surat_)jalan.php -> sel_daftar_surat_jalan : SELECT * FROM surat_jalan ORDER BY surat_jalan_id DESC [] []
[2019-07-21 12:39:27] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_plg -> SELECT pelanggan_nama FROM pelanggan WHERE pelanggan_id = 3 [] []
[2019-07-21 12:39:27] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_user -> SELECT nama FROM s_user WHERE username = 'superuser' [] []
[2019-07-21 12:39:31] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_pesanan : SELECT sj.*, p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, u.nama AS createby FROM surat_jalan sj JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id JOIN s_user u ON u.username = sj.cre_usr WHERE sj.surat_jalan_key = 'SRJ/20190721/001' [] []
[2019-07-21 12:39:31] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_detailsj : SELECT sj.*, dp.* FROM surat_jalan_detail sj JOIN detail_pesanan dp ON dp.detail_pesanan_key = sj.surat_jalan_detail_pesanan_key WHERE surat_jalan_detail_surat_jalan_key = 'SRJ/20190721/001' [] []
[2019-07-21 12:47:14] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_pesanan : SELECT sj.*, p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, u.nama AS createby FROM surat_jalan sj JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id JOIN s_user u ON u.username = sj.cre_usr WHERE sj.surat_jalan_key = 'SRJ/20190721/001' [] []
[2019-07-21 12:47:14] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_detailsj : SELECT sj.*, dp.* FROM surat_jalan_detail sj JOIN detail_pesanan dp ON dp.detail_pesanan_key = sj.surat_jalan_detail_pesanan_key WHERE surat_jalan_detail_surat_jalan_key = 'SRJ/20190721/001' [] []
[2019-07-21 13:00:51] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_pesanan : SELECT sj.*, p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, u.nama AS createby FROM surat_jalan sj JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id JOIN s_user u ON u.username = sj.cre_usr WHERE sj.surat_jalan_key = 'SRJ/20190721/001' [] []
[2019-07-21 13:00:51] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_detailsj : SELECT sj.*, dp.* FROM surat_jalan_detail sj JOIN detail_pesanan dp ON dp.detail_pesanan_key = sj.surat_jalan_detail_pesanan_key WHERE surat_jalan_detail_surat_jalan_key = 'SRJ/20190721/001' [] []
[2019-07-21 13:01:14] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_pesanan : SELECT sj.*, p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, u.nama AS createby FROM surat_jalan sj JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id JOIN s_user u ON u.username = sj.cre_usr WHERE sj.surat_jalan_key = 'SRJ/20190721/001' [] []
[2019-07-21 13:01:14] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_detailsj : SELECT sj.*, dp.* FROM surat_jalan_detail sj JOIN detail_pesanan dp ON dp.detail_pesanan_key = sj.surat_jalan_detail_pesanan_key WHERE surat_jalan_detail_surat_jalan_key = 'SRJ/20190721/001' [] []
[2019-07-21 13:08:21] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_pesanan : SELECT sj.*, p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, u.nama AS createby FROM surat_jalan sj JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id JOIN s_user u ON u.username = sj.cre_usr WHERE sj.surat_jalan_key = 'SRJ/20190721/001' [] []
[2019-07-21 13:08:21] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_detailsj : SELECT sj.*, dp.* FROM surat_jalan_detail sj JOIN detail_pesanan dp ON dp.detail_pesanan_key = sj.surat_jalan_detail_pesanan_key WHERE surat_jalan_detail_surat_jalan_key = 'SRJ/20190721/001' [] []
[2019-07-21 13:09:02] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_pesanan : SELECT sj.*, p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, u.nama AS createby FROM surat_jalan sj JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id JOIN s_user u ON u.username = sj.cre_usr WHERE sj.surat_jalan_key = 'SRJ/20190721/001' [] []
[2019-07-21 13:09:02] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_detailsj : SELECT sj.*, dp.* FROM surat_jalan_detail sj JOIN detail_pesanan dp ON dp.detail_pesanan_key = sj.surat_jalan_detail_pesanan_key WHERE surat_jalan_detail_surat_jalan_key = 'SRJ/20190721/001' [] []
[2019-07-21 13:09:44] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_pesanan : SELECT sj.*, p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, u.nama AS createby FROM surat_jalan sj JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id JOIN s_user u ON u.username = sj.cre_usr WHERE sj.surat_jalan_key = 'SRJ/20190721/001' [] []
[2019-07-21 13:09:44] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_detailsj : SELECT sj.*, dp.* FROM surat_jalan_detail sj JOIN detail_pesanan dp ON dp.detail_pesanan_key = sj.surat_jalan_detail_pesanan_key WHERE surat_jalan_detail_surat_jalan_key = 'SRJ/20190721/001' [] []
