[2019-06-16 13:56:01] RabbitPrint.WARNING:  | | | data_pelanggan.php -> sel_pelanggan : SELECT * FROM pelanggan [] []
[2019-06-16 13:56:01] RabbitPrint.WARNING:  | | | data_pelanggan.php -> jml. pelanggan : 1 [] []
[2019-06-16 13:56:01] RabbitPrint.WARNING:  | | | functions.php -> getDetailPesananKey() -> selectkey : SELECT MAX(detail_pesanan_key) AS detail_key FROM detail_pesanan; [] []
[2019-06-16 13:56:01] RabbitPrint.WARNING:  | | | functions.php -> getDetailPesananKey() -> detail_key : 0000000001 [] []
[2019-06-16 13:56:01] RabbitPrint.WARNING:  | | | pesanan.php -> load [] []
[2019-06-16 13:56:11] RabbitPrint.WARNING:  | | | daftar_pesanan.php -> membuka halaman [] []
[2019-06-16 13:56:11] RabbitPrint.WARNING:  | | | daftar_pesanan.php -> sel_pesanan : SELECT psn.*, plg.pelanggan_nama	FROM pesanan psn JOIN pelanggan plg ON plg.pelanggan_id = psn.pesanan_pelanggan_id ORDER BY psn.pesanan_id DESC [] []
[2019-06-16 13:56:12] RabbitPrint.WARNING:  | | | daftar_pesanan.php -> membuka halaman [] []
[2019-06-16 13:56:12] RabbitPrint.WARNING:  | | | daftar_pesanan.php -> sel_pesanan : SELECT psn.*, plg.pelanggan_nama	FROM pesanan psn JOIN pelanggan plg ON plg.pelanggan_id = psn.pesanan_pelanggan_id ORDER BY psn.pesanan_id DESC [] []
[2019-06-16 13:56:14] RabbitPrint.WARNING:  | | | data_pelanggan.php -> sel_pelanggan : SELECT * FROM pelanggan [] []
[2019-06-16 13:56:14] RabbitPrint.WARNING:  | | | data_pelanggan.php -> jml. pelanggan : 1 [] []
[2019-06-16 13:56:14] RabbitPrint.WARNING:  | | | functions.php -> getDetailPesananKey() -> selectkey : SELECT MAX(detail_pesanan_key) AS detail_key FROM detail_pesanan; [] []
[2019-06-16 13:56:14] RabbitPrint.WARNING:  | | | functions.php -> getDetailPesananKey() -> detail_key : 0000000001 [] []
[2019-06-16 13:56:14] RabbitPrint.WARNING:  | | | pesanan.php -> load [] []
[2019-06-16 13:58:33] RabbitPrint.WARNING:  | | | data_pelanggan.php -> sel_pelanggan : SELECT * FROM pelanggan [] []
[2019-06-16 13:58:33] RabbitPrint.WARNING:  | | | data_pelanggan.php -> jml. pelanggan : 1 [] []
[2019-06-16 13:58:33] RabbitPrint.WARNING:  | | | functions.php -> getDetailPesananKey() -> selectkey : SELECT MAX(detail_pesanan_key) AS detail_key FROM detail_pesanan; [] []
[2019-06-16 13:58:33] RabbitPrint.WARNING:  | | | functions.php -> getDetailPesananKey() -> detail_key : 0000000001 [] []
[2019-06-16 13:58:33] RabbitPrint.WARNING:  | | | pesanan.php -> load [] []
[2019-06-16 13:59:33] RabbitPrint.WARNING:  | | | data_pelanggan.php -> sel_pelanggan : SELECT * FROM pelanggan [] []
[2019-06-16 13:59:33] RabbitPrint.WARNING:  | | | data_pelanggan.php -> jml. pelanggan : 1 [] []
[2019-06-16 13:59:33] RabbitPrint.WARNING:  | | | functions.php -> getDetailPesananKey() -> selectkey : SELECT MAX(detail_pesanan_key) AS detail_key FROM detail_pesanan; [] []
[2019-06-16 13:59:33] RabbitPrint.WARNING:  | | | functions.php -> getDetailPesananKey() -> detail_key : 0000000001 [] []
[2019-06-16 13:59:33] RabbitPrint.WARNING:  | | | pesanan.php -> load [] []
[2019-06-16 14:01:07] RabbitPrint.WARNING:  | | | data_pelanggan.php -> sel_pelanggan : SELECT * FROM pelanggan [] []
[2019-06-16 14:01:07] RabbitPrint.WARNING:  | | | data_pelanggan.php -> jml. pelanggan : 1 [] []
[2019-06-16 14:01:07] RabbitPrint.WARNING:  | | | functions.php -> getDetailPesananKey() -> selectkey : SELECT MAX(detail_pesanan_key) AS detail_key FROM detail_pesanan; [] []
[2019-06-16 14:01:07] RabbitPrint.WARNING:  | | | functions.php -> getDetailPesananKey() -> detail_key : 0000000001 [] []
[2019-06-16 14:01:07] RabbitPrint.WARNING:  | | | pesanan.php -> load [] []
[2019-06-16 14:03:31] RabbitPrint.WARNING:  | | | data_pelanggan.php -> sel_pelanggan : SELECT * FROM pelanggan [] []
[2019-06-16 14:03:31] RabbitPrint.WARNING:  | | | data_pelanggan.php -> jml. pelanggan : 1 [] []
[2019-06-16 14:03:31] RabbitPrint.WARNING:  | | | functions.php -> getDetailPesananKey() -> selectkey : SELECT MAX(detail_pesanan_key) AS detail_key FROM detail_pesanan; [] []
[2019-06-16 14:03:31] RabbitPrint.WARNING:  | | | functions.php -> getDetailPesananKey() -> detail_key : 0000000001 [] []
[2019-06-16 14:03:31] RabbitPrint.WARNING:  | | | pesanan.php -> load [] []
[2019-06-16 14:04:14] RabbitPrint.WARNING:  | | | data_pelanggan.php -> sel_pelanggan : SELECT * FROM pelanggan [] []
[2019-06-16 14:04:14] RabbitPrint.WARNING:  | | | data_pelanggan.php -> jml. pelanggan : 1 [] []
[2019-06-16 14:04:14] RabbitPrint.WARNING:  | | | functions.php -> getDetailPesananKey() -> selectkey : SELECT MAX(detail_pesanan_key) AS detail_key FROM detail_pesanan; [] []
[2019-06-16 14:04:14] RabbitPrint.WARNING:  | | | functions.php -> getDetailPesananKey() -> detail_key : 0000000001 [] []
[2019-06-16 14:04:14] RabbitPrint.WARNING:  | | | pesanan.php -> load [] []
[2019-06-16 14:05:16] RabbitPrint.WARNING:  | | | data_pelanggan.php -> sel_pelanggan : SELECT * FROM pelanggan [] []
[2019-06-16 14:05:16] RabbitPrint.WARNING:  | | | data_pelanggan.php -> jml. pelanggan : 1 [] []
[2019-06-16 14:05:16] RabbitPrint.WARNING:  | | | functions.php -> getDetailPesananKey() -> selectkey : SELECT MAX(detail_pesanan_key) AS detail_key FROM detail_pesanan; [] []
[2019-06-16 14:05:16] RabbitPrint.WARNING:  | | | functions.php -> getDetailPesananKey() -> detail_key : 0000000001 [] []
[2019-06-16 14:05:16] RabbitPrint.WARNING:  | | | pesanan.php -> load [] []
[2019-06-16 14:05:47] RabbitPrint.WARNING:  | | | functions.php -> getKodePesanan() -> selectkey : SELECT MAX(pesanan.pesanan_no_pesanan) AS psnkey FROM pesanan WHERE pesanan.pesanan_no_pesanan LIKE '%PSN/20190616/%' [] []
[2019-06-16 14:05:47] RabbitPrint.WARNING:  | | | functions.php -> getKodePesanan() -> psn_key : PSN/20190616/001 [] []
[2019-06-16 14:05:47] RabbitPrint.WARNING:  | | | proses_pesanan.php -> load.. [] []
[2019-06-16 14:05:47] RabbitPrint.WARNING:  | | | proses_pesanan.php -> list_barang : Array [] []
[2019-06-16 14:05:47] RabbitPrint.WARNING:  | | | proses_pesanan.php -> insert ke pesanan -> sql_pesanan : INSERT INTO pesanan (cre_tms, upd_tms, cre_usr, upd_usr, pesanan_no_pesanan, pesanan_no_surat_jalan_masuk, pesanan_jenis_pesanan, pesanan_tanggal_pesanan, pesanan_pelanggan_id, pesanan_total_qty, pesanan_total_qty_packing) VALUES (NOW(), NOW(), 'superuser', 'superuser', 'PSN/20190616/001', 'PAPAPA01', 'U', '2019-06-16', '4', 0, 0) [] []
[2019-06-16 14:05:47] RabbitPrint.WARNING:  | | | proses_pesanan.php -> insert ke pesanan -> BERHASIL [] []
[2019-06-16 14:05:47] RabbitPrint.WARNING:  | | | proses_pesanan.php -> insert ke detail_pesanan -> sql_detail : INSERT INTO detail_pesanan (cre_tms, upd_tms, cre_usr, upd_usr, detail_pesanan_no_pesanan, detail_pesanan_key, detail_pesanan_nama_barang, detail_pesanan_jenis_print, detail_pesanan_detail_kain, detail_pesanan_nama_warna, detail_pesanan_ukuran, detail_pesanan_qty, detail_pesanan_satuan, detail_pesanan_jenis_packing, detail_pesanan_qty_packing, detail_pesanan_warna, detail_pesanan_keterangan) VALUES  [] []
[2019-06-16 14:05:47] RabbitPrint.WARNING:  | | | proses_pesanan.php -> insert ke detail_pesanan -> GAGAL : You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1 [] []
[2019-06-16 14:06:10] RabbitPrint.WARNING:  | | | data_pelanggan.php -> sel_pelanggan : SELECT * FROM pelanggan [] []
[2019-06-16 14:06:10] RabbitPrint.WARNING:  | | | data_pelanggan.php -> jml. pelanggan : 1 [] []
[2019-06-16 14:06:10] RabbitPrint.WARNING:  | | | functions.php -> getDetailPesananKey() -> selectkey : SELECT MAX(detail_pesanan_key) AS detail_key FROM detail_pesanan; [] []
[2019-06-16 14:06:10] RabbitPrint.WARNING:  | | | functions.php -> getDetailPesananKey() -> detail_key : 0000000001 [] []
[2019-06-16 14:06:10] RabbitPrint.WARNING:  | | | pesanan.php -> load [] []
[2019-06-16 14:19:41] RabbitPrint.WARNING:  | | | data_pelanggan.php -> sel_pelanggan : SELECT * FROM pelanggan [] []
[2019-06-16 14:19:41] RabbitPrint.WARNING:  | | | data_pelanggan.php -> jml. pelanggan : 1 [] []
[2019-06-16 14:19:41] RabbitPrint.WARNING:  | | | functions.php -> getDetailPesananKey() -> selectkey : SELECT MAX(detail_pesanan_key) AS detail_key FROM detail_pesanan; [] []
[2019-06-16 14:19:41] RabbitPrint.WARNING:  | | | functions.php -> getDetailPesananKey() -> detail_key : 0000000001 [] []
