[2019-03-25 13:56:57] RabbitPrint.WARNING:  | | | data_pelanggan.php -> sel_pelanggan : SELECT * FROM pelanggan [] []
[2019-03-25 13:56:57] RabbitPrint.WARNING:  | | | data_pelanggan.php -> jml. pelanggan : 1 [] []
[2019-03-25 13:56:57] RabbitPrint.WARNING:  | | | pesanan.php -> load [] []
[2019-03-25 13:57:36] RabbitPrint.WARNING:  | | | functions.php -> getKodePesanan() -> selectkey : SELECT MAX(pesanan.pesanan_no_pesanan) AS psnkey FROM pesanan WHERE pesanan.pesanan_no_pesanan LIKE '%PSN-180319%' [] []
[2019-03-25 13:57:36] RabbitPrint.WARNING:  | | | functions.php -> getKodePesanan() -> psn_key : PSN-180319-001 [] []
[2019-03-25 13:57:36] RabbitPrint.WARNING:  | | | proses_pesanan.php -> load.. [] []
[2019-03-25 13:57:36] RabbitPrint.WARNING:  | | | proses_pesanan.php -> list_barang : Array [] []
[2019-03-25 13:57:36] RabbitPrint.WARNING:  | | | proses_pesanan.php -> insert ke pesanan -> sql_pesanan : INSERT INTO pesanan (cre_tms, upd_tms, cre_usr, upd_usr, pesanan_no_pesanan, pesanan_no_surat_jalan_masuk, pesanan_jenis_pesanan, pesanan_tanggal_pesanan, pesanan_pelanggan_id, pesanan_total_qty, pesanan_total_qty_packing) VALUES (NOW(), NOW(), 'superuser', 'superuser', 'PSN-180319-001', 'QWE123', 'Pesanan Baru', '20190318', '3', 0, 0) [] []
[2019-03-25 13:57:36] RabbitPrint.WARNING:  | | | proses_pesanan.php -> insert ke pesanan -> BERHASIL [] []
[2019-03-25 13:57:36] RabbitPrint.WARNING:  | | | proses_pesanan.php -> insert ke detail_pesanan -> sql_detail : INSERT INTO detail_pesanan (cre_tms, upd_tms, cre_usr, upd_usr, detail_pesanan_no_pesanan, detail_pesanan_nama_barang, detail_pesanan_jenis_print, detail_pesanan_detail_kain, detail_pesanan_qty, detail_pesanan_satuan, detail_pesanan_jenis_packing, detail_pesanan_qty_packing, detail_pesanan_warna, detail_pesanan_keterangan) VALUES ( NOW(), NOW(), 'superuser', 'superuser', 'PSN-180319-001', 'asd', 'asd', , 25, 'Kg', 'Roll', 2, 3, ''),( NOW(), NOW(), 'superuser', 'superuser', 'PSN-180319-001', 'asd', 'asd', , 20, 'Kg', 'Roll', 1, 3, ''),( NOW(), NOW(), 'superuser', 'superuser', 'PSN-180319-001', 'asd', 'asd', , 23.5, 'Kg', 'Roll', 1, 3, '') [] []
[2019-03-25 13:57:36] RabbitPrint.WARNING:  | | | proses_pesanan.php -> insert ke detail_pesanan -> GAGAL : You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ' 25, 'Kg', 'Roll', 2, 3, ''),( NOW(), NOW(), 'superuser', 'superuser', 'PSN-1803' at line 1 [] []
[2019-03-25 14:01:49] RabbitPrint.WARNING:  | | | data_pelanggan.php -> sel_pelanggan : SELECT * FROM pelanggan [] []
